#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,libxft-git,"is a FreeType-based font drawing library for X"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,autorandr,"automatic display mgt"
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,bitwarden,"password manager"
,udisks,"disk management"
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"web browser"
A,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,viewnior,"image viewer"
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xdg-user-dirs,"user dir utility"
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
,i3lock,"screen locker"
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
A,i3-gaps,"display manager"
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
A,asdf-vm,"versio mgt tool for languages"
,filezilla,"sftp gui"
,bottom,"tui for resource mgt"
A,notion-app-enhanced,"notion"
A,postman-bin,"postman"
,qbittorrent,"torrent client"
,neofetch,"fetch"
A,spotify,"music service"
A,spicetify-cli,"cli tool to customize spotify"
A,spicetify-themes-git,"themes for spotify"
,sxhkd,"key daemon for X"
,vlc,"vlc"
,polybar,"polybar"
,ttf-croscore,"font"
,ttf-dejavu,"font"
,ttf-fantasque-sans-mono,"font"
,ttf-fira-mono,"font"
,ttf-fira-sans,"font"
,ttf-font-awesome,"font"
,ttf-hack,"font"
,ttf-inconsolata,"font"
,ttf-ionicons,"font"
,ttf-joypixels,"font"
,ttf-liberation,"font"
,ttf-linux-libertine,"font"
,ttf-opensans,"font"
,ttf-roboto,"font"
,ttf-ubuntu-font-family,"font"
,noto-fonts,"font"
,noto-fonts-cjk,"font"
,noto-fonts-emoji,"font"
,noto-fonts-extra,"font"
,powerline-fonts,"font"
,terminus-font,"font"
,awesome-terminal-fonts,"font"
,cantarell-fonts,"font"
,fontconfig,"font"
A,ttf-century-gothic,"font"
A,ttf-google,"font"
A,ttf-google-fonts-git,"font"
A,ttf-google-sans,"font"
A,ttf-iosevka,"font"
A,ttf-material-design-icons,"font"
A,ttf-merriweather,"font"
A,ttf-merriweather-sans,"font"
A,ttf-mononoki,"font"
A,ttf-oswald,"font"
A,ttf-quintessential,"font"
A,ttf-signika,"font"
A,nerd-fonts-complete,"font"
A,nerd-fonts-source-code-pro,"font"
A,termsyn-font,"font"
A,ttf-google-fonts-git,"font"
A,xorg-font-utils,"font"
,npm,"node package manager"
,tldr,"quick help program for cmd"
,rsync,"synchronization program"
,rofi,"display utility"
,inetutils,"network utilities"
A,slack-desktop,"slack client"
